,Date,Class,t_rain-20,t_rain-19,t_rain-18,t_rain-17,t_rain-16,t_rain-15,t_rain-14,t_rain-13,t_rain-12,t_rain-11,t_rain-10,t_rain-9,t_rain-8,t_rain-7,t_evap-20,t_evap-19,t_evap-18,t_evap-17,t_evap-16,t_evap-15,t_evap-14,t_evap-13,t_evap-12,t_evap-11,t_evap-10,t_evap-9,t_evap-8,t_evap-7,t_wlevel-20,t_wlevel-19,t_wlevel-18,t_wlevel-17,t_wlevel-16,t_wlevel-15,t_wlevel-14,t_wlevel-13,t_wlevel-12,t_wlevel-11,t_wlevel-10
0,2014-11-22,1,0.0,3.8,9.0,26.4,1.4,0.0,1.8,2.2,6.6,2.4,7.5,0.5,1.1,0.3,0.3,0.7,1.0,0.7,0.0,0.3,0.6,0.2,0.4,0.6,0.6,0.4,0.4,0.9,33.205,33.157,33.158,33.194,33.328,33.426,33.425,33.424,33.413,33.451,33.522
1,2014-12-28,1,0.0,1.8,2.2,6.6,2.4,7.5,0.5,1.1,0.3,3.3,4.1,0.3,0.0,10.1,0.3,0.6,0.2,0.4,0.6,0.6,0.4,0.4,0.9,0.9,0.6,0.4,0.2,0.5,33.426,33.425,33.424,33.413,33.451,33.522,33.603,33.622,33.587,33.563,33.594
2,2015-01-02,1,5.8,2.6,1.4,0.0,1.9,6.6,0.1,0.0,2.4,0.0,2.7,0.4,0.4,3.8,0.8,0.4,0.3,0.3,0.3,0.4,0.3,0.3,0.7,0.6,0.9,0.3,0.4,0.6,33.988,34.117,34.139,34.127,34.09,34.058,34.038,34.002,33.955,33.915,33.862
3,2015-02-04,1,0.4,3.8,8.8,1.7,0.5,0.0,0.0,1.3,0.0,0.0,0.1,0.0,0.0,0.0,0.4,0.6,0.8,0.7,0.8,0.5,0.4,0.4,0.5,0.5,0.5,0.6,0.3,0.5,33.788,33.751,33.735,33.752,33.775,33.754,33.718,33.689,33.659,33.617,33.572
4,2015-02-16,0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,6.2,0.2,0.0,0.8,3.6,2.5,0.2,0.3,0.5,0.6,0.7,1.0,0.9,0.7,0.7,0.8,1.0,1.6,0.9,0.8,1.1,33.47,33.421,33.369,33.319,33.268,33.217,33.19,33.145,33.125,33.1,33.057
5,2015-02-28,0,2.5,0.2,10.7,6.8,6.0,1.8,7.1,0.1,1.7,6.8,5.8,6.3,0.0,0.0,0.8,1.1,0.9,1.0,1.3,0.8,1.0,0.9,1.2,1.1,1.2,1.3,1.5,2.1,33.024,33.008,32.99,33.061,33.166,33.212,33.284,33.377,33.391,33.402,33.46
6,2015-03-12,0,0.0,0.0,0.0,1.0,4.2,4.1,0.0,3.2,10.4,0.0,0.0,0.0,0.0,0.0,1.5,2.1,2.5,2.5,1.5,1.9,1.9,1.5,0.9,1.6,1.7,1.2,1.1,1.5,33.574,33.585,33.558,33.523,33.54,33.525,33.524,33.499,33.504,33.565,33.577
7,2015-03-24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,6.3,0.3,0.0,4.5,6.1,1.1,1.5,1.7,1.9,1.7,2.3,2.4,2.2,2.0,1.3,2.2,1.8,2.3,1.6,33.527,33.497,33.459,33.407,33.35,33.294,33.23,33.176,33.126,33.066,33.058
8,2015-04-05,0,0.3,0.0,4.5,6.1,9.0,1.7,0.8,5.1,4.7,0.1,0.0,0.0,0.0,0.0,2.2,1.8,2.3,1.6,1.3,2.9,1.7,1.5,2.0,1.5,2.3,3.0,3.3,3.8,33.058,33.043,33.015,33.059,33.151,33.263,33.318,33.332,33.394,33.448,33.435
9,2015-04-15,0,4.5,6.1,9.0,1.7,0.8,5.1,4.7,0.1,0.0,0.0,0.0,0.0,0.0,4.6,2.3,1.6,1.3,2.9,1.7,1.5,2.0,1.5,2.3,3.0,3.3,3.8,3.9,3.6,33.015,33.059,33.151,33.263,33.318,33.332,33.394,33.448,33.435,33.414,33.385
