,date_evap,evap,t_evap-20,t_evap-19,t_evap-18,t_evap-17,t_evap-16,t_evap-15,t_evap-14,t_evap-13,t_evap-12,t_evap-11,t_evap-10,t_evap-9,t_evap-8,t_evap-7
1,2014-12-28,0,0.3,0.7,1.0,0.7,0.0,0.3,0.6,0.2,0.4,0.6,0.6,0.4,0.4,0.9
2,2015-01-02,0.6,0.3,0.6,0.2,0.4,0.6,0.6,0.4,0.4,0.9,0.9,0.6,0.4,0.2,0.5
3,2015-02-04,0.5,0.8,0.4,0.3,0.3,0.3,0.4,0.3,0.3,0.7,0.6,0.9,0.3,0.4,0.6
4,2015-02-16,0.8,0.4,0.6,0.8,0.7,0.8,0.5,0.4,0.4,0.5,0.5,0.5,0.6,0.3,0.5
5,2015-02-28,1.2,0.3,0.5,0.6,0.7,1.0,0.9,0.7,0.7,0.8,1.0,1.6,0.9,0.8,1.1
6,2015-03-12,0.9,0.8,1.1,0.9,1.0,1.3,0.8,1.0,0.9,1.2,1.1,1.2,1.3,1.5,2.1
7,2015-03-24,2,1.5,2.1,2.5,2.5,1.5,1.9,1.9,1.5,0.9,1.6,1.7,1.2,1.1,1.5
8,2015-04-05,2.3,1.1,1.5,1.7,1.9,1.7,2.3,2.4,2.2,2.0,1.3,2.2,1.8,2.3,1.6
9,2015-04-15,2.4,2.2,1.8,2.3,1.6,1.3,2.9,1.7,1.5,2.0,1.5,2.3,3.0,3.3,3.8
10,2015-04-17,3.2,2.3,1.6,1.3,2.9,1.7,1.5,2.0,1.5,2.3,3.0,3.3,3.8,3.9,3.6
11,2015-04-20,2.8,2.9,1.7,1.5,2.0,1.5,2.3,3.0,3.3,3.8,3.9,3.6,2.6,2.1,2.7
12,2015-11-07,0.6,0.8,0.8,0.7,1,1.5,1.1,0.9,1.1,1.2,0.7,0.9,0.8,1,0.7
13,2015-11-10,0.7,1,1.5,1.1,0.9,1.1,1.2,0.7,0.9,0.8,1,0.7,0.5,0.7,0.6
14,2015-11-19,0.7,1,0.7,0.5,0.7,0.6,0.5,0.7,0.8,0.6,0.9,1.3,0.7,0.5,0.9
15,2015-11-22,0.3,0.7,0.6,0.5,0.7,0.8,0.6,0.9,1.3,0.7,0.5,0.9,0.7,0.7,0.8
16,2015-11-29,1,1.3,0.7,0.5,0.9,0.7,0.7,0.8,0.7,0.9,0.6,0.7,0.7,0.5,0.3
17,2015-12-01,0.8,0.5,0.9,0.7,0.7,0.8,0.7,0.9,0.6,0.7,0.7,0.5,0.3,0.4,0.6
18,2015-12-04,0.8,0.7,0.8,0.7,0.9,0.6,0.7,0.7,0.5,0.3,0.4,0.6,0.5,0.5,0.7
19,2015-12-11,0.4,0.5,0.3,0.4,0.6,0.5,0.5,0.7,0.7,1,0.7,0.8,0.5,0.5,0.8
20,2015-12-13,0.5,0.4,0.6,0.5,0.5,0.7,0.7,1,0.7,0.8,0.5,0.5,0.8,1,0.4
21,2015-12-16,0.6,0.5,0.7,0.7,1,0.7,0.8,0.5,0.5,0.8,1,0.4,0.8,0.6,1.1
22,2015-12-23,0.7,0.5,0.8,1,0.4,0.8,0.6,1.1,0.4,0.4,0.4,0.5,0.5,0.7,0.6
23,2015-12-25,0.7,1,0.4,0.8,0.6,1.1,0.4,0.4,0.4,0.5,0.5,0.7,0.6,0.5,0.8
24,2015-12-28,1.1,0.6,1.1,0.4,0.4,0.4,0.5,0.5,0.7,0.6,0.5,0.8,0.9,0.4,0.3
25,2016-01-04,0.3,0.7,0.6,0.5,0.8,0.9,0.4,0.3,0.6,0.7,0.2,0.7,0.6,0.4,1.1
26,2016-01-06,0.4,0.5,0.8,0.9,0.4,0.3,0.6,0.7,0.2,0.7,0.6,0.4,1.1,1.1,0.6
