,date_rain,rain,t_rain-20,t_rain-19,t_rain-18,t_rain-17,t_rain-16,t_rain-15,t_rain-14,t_rain-13,t_rain-12,t_rain-11,t_rain-10,t_rain-9,t_rain-8,t_rain-7
1,2014-12-28,0,0.0,3.8,9.0,26.4,1.4,0.0,1.8,2.2,6.6,2.4,7.5,0.5,1.1,0.3
2,2015-01-02,0.3,0.0,1.8,2.2,6.6,2.4,7.5,0.5,1.1,0.3,3.3,4.1,0.3,0.0,10.1
3,2015-02-04,0,5.8,2.6,1.4,0.0,1.9,6.6,0.1,0.0,2.4,0.0,2.7,0.4,0.4,3.8
4,2015-02-16,0.2,0.4,3.8,8.8,1.7,0.5,0.0,0.0,1.3,0.0,0.0,0.1,0.0,0.0,0.0
5,2015-02-28,1.7,0.0,0.0,0.0,0.0,0.0,4.5,0.0,6.2,0.2,0.0,0.8,3.6,2.5,0.2
6,2015-03-12,10.4,2.5,0.2,10.7,6.8,6.0,1.8,7.1,0.1,1.7,6.8,5.8,6.3,0.0,0.0
7,2015-03-24,0.6,0.0,0.0,0.0,1.0,4.2,4.1,0.0,3.2,10.4,0.0,0.0,0.0,0.0,0.0
8,2015-04-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,6.3,0.3,0.0,4.5,6.1
9,2015-04-15,0.1,0.3,0.0,4.5,6.1,9.0,1.7,0.8,5.1,4.7,0.1,0.0,0.0,0.0,0.0
10,2015-04-17,0,4.5,6.1,9.0,1.7,0.8,5.1,4.7,0.1,0.0,0.0,0.0,0.0,0.0,4.6
11,2015-04-20,0,1.7,0.8,5.1,4.7,0.1,0.0,0.0,0.0,0.0,0.0,4.6,2.9,16.2,0.3
12,2015-11-07,6.2,1.1,0,3.3,0.4,0,1.6,11.9,0.1,6,2.6,0.4,4.8,0.1,0
13,2015-11-10,9.2,0.4,0,1.6,11.9,0.1,6,2.6,0.4,4.8,0.1,0,0.1,0,0.1
14,2015-11-19,0.1,0.1,0,0.1,0,0.1,0,9.8,0.1,6.2,7.3,11.6,9.2,9.6,8.1
15,2015-11-22,0.1,0,0.1,0,9.8,0.1,6.2,7.3,11.6,9.2,9.6,8.1,9.4,17.9,7.1
