,date_wlevel,w_level,t_wlevel-20,t_wlevel-19,t_wlevel-18,t_wlevel-17,t_wlevel-16,t_wlevel-15,t_wlevel-14,t_wlevel-13,t_wlevel-12,t_wlevel-11,t_wlevel-10
1,2014-12-28,33.814,33.205,33.157,33.158,33.194,33.328,33.426,33.425,33.424,33.413,33.451,33.522
2,2015-01-02,33.699,33.426,33.425,33.424,33.413,33.451,33.522,33.603,33.622,33.587,33.563,33.594
3,2015-02-04,33.659,33.988,34.117,34.139,34.127,34.09,34.058,34.038,34.002,33.955,33.915,33.862
4,2015-02-16,33.125,33.788,33.751,33.735,33.752,33.775,33.754,33.718,33.689,33.659,33.617,33.572
5,2015-02-28,33.391,33.47,33.421,33.369,33.319,33.268,33.217,33.19,33.145,33.125,33.1,33.057
6,2015-03-12,33.504,33.024,33.008,32.99,33.061,33.166,33.212,33.284,33.377,33.391,33.402,33.46
7,2015-03-24,33.126,33.574,33.585,33.558,33.523,33.54,33.525,33.524,33.499,33.504,33.565,33.577
8,2015-04-05,33.435,33.527,33.497,33.459,33.407,33.35,33.294,33.23,33.176,33.126,33.066,33.058
9,2015-04-15,33.213,33.058,33.043,33.015,33.059,33.151,33.263,33.318,33.332,33.394,33.448,33.435
10,2015-04-17,33.119,33.015,33.059,33.151,33.263,33.318,33.332,33.394,33.448,33.435,33.414,33.385
11,2015-04-20,32.88,33.263,33.318,33.332,33.394,33.448,33.435,33.414,33.385,33.339,33.284,33.226
12,2015-11-07,32.534,32.541,32.536,32.531,32.536,32.54,32.527,32.55,32.581,32.578,32.565,32.566
13,2015-11-10,32.717,32.536,32.54,32.527,32.55,32.581,32.578,32.565,32.566,32.575,32.562,32.559
14,2015-11-19,33.847,32.562,32.559,32.568,32.571,32.594,32.597,32.587,32.586,32.534,32.534,32.591
15,2015-11-22,33.907,32.571,32.594,32.597,32.587,32.586,32.534,32.534,32.591,32.717,32.67,32.755
16,2015-11-29,33.821,32.591,32.717,32.67,32.755,32.844,33.014,33.276,33.518,33.663,33.741,33.847
17,2015-12-01,33.996,32.67,32.755,32.844,33.014,33.276,33.518,33.663,33.741,33.847,33.912,33.923
18,2015-12-04,34.128,33.014,33.276,33.518,33.663,33.741,33.847,33.912,33.923,33.907,33.875,33.854
19,2015-12-11,34.657,33.923,33.907,33.875,33.854,33.839,33.812,33.775,33.757,33.821,33.907,33.996
20,2015-12-13,34.729,33.875,33.854,33.839,33.812,33.775,33.757,33.821,33.907,33.996,34.043,34.082
21,2015-12-16,34.711,33.812,33.775,33.757,33.821,33.907,33.996,34.043,34.082,34.128,34.193,34.389
22,2015-12-23,34.535,34.082,34.128,34.193,34.389,34.541,34.616,34.625,34.642,34.657,34.683,34.729
23,2015-12-25,34.626,34.193,34.389,34.541,34.616,34.625,34.642,34.657,34.683,34.729,34.742,34.731
24,2015-12-28,34.707,34.616,34.625,34.642,34.657,34.683,34.729,34.742,34.731,34.711,34.669,34.629
25,2016-01-04,34.903,34.731,34.711,34.669,34.629,34.582,34.556,34.526,34.514,34.535,34.561,34.626
26,2016-01-06,34.889,34.669,34.629,34.582,34.556,34.526,34.514,34.535,34.561,34.626,34.691,34.724
27,2016-01-18,34.339,34.72,34.76,34.83,34.845,34.881,34.891,34.903,34.911,34.889,34.876,34.855
28,2016-01-21,34.201,34.845,34.881,34.891,34.903,34.911,34.889,34.876,34.855,34.828,34.784,34.729
